c
c
c
c
c
18 153
1 2 15
1 3 10
1 4 11
1 5 23
1 6 5
1 7 36
1 8 3
1 9 37
1 10 29
1 11 50
1 12 48
1 13 14
1 14 23
1 15 41
1 16 14
1 17 1
1 18 33
2 3 1
2 4 28
2 5 7
2 6 49
2 7 45
2 8 37
2 9 7
2 10 33
2 11 19
2 12 45
2 13 10
2 14 46
2 15 40
2 16 41
2 17 9
2 18 45
3 4 17
3 5 32
3 6 12
3 7 19
3 8 48
3 9 9
3 10 42
3 11 39
3 12 41
3 13 19
3 14 19
3 15 37
3 16 47
3 17 29
3 18 35
4 5 23
4 6 1
4 7 13
4 8 5
4 9 48
4 10 21
4 11 32
4 12 39
4 13 16
4 14 32
4 15 37
4 16 4
4 17 50
4 18 37
5 6 15
5 7 29
5 8 4
5 9 8
5 10 48
5 11 37
5 12 5
5 13 24
5 14 25
5 15 41
5 16 46
5 17 25
5 18 33
6 7 18
6 8 39
6 9 23
6 10 8
6 11 48
6 12 7
6 13 40
6 14 25
6 15 1
6 16 39
6 17 47
6 18 26
7 8 36
7 9 9
7 10 11
7 11 32
7 12 7
7 13 8
7 14 18
7 15 31
7 16 15
7 17 44
7 18 48
8 9 24
8 10 40
8 11 27
8 12 31
8 13 8
8 14 20
8 15 29
8 16 5
8 17 1
8 18 29
9 10 9
9 11 32
9 12 20
9 13 35
9 14 7
9 15 28
9 16 28
9 17 24
9 18 49
10 11 49
10 12 26
10 13 38
10 14 9
10 15 32
10 16 21
10 17 1
10 18 6
11 12 31
11 13 33
11 14 16
11 15 3
11 16 42
11 17 36
11 18 33
12 13 28
12 14 6
12 15 35
12 16 29
12 17 24
12 18 39
13 14 43
13 15 16
13 16 42
13 17 40
13 18 21
14 15 46
14 16 21
14 17 31
14 18 50
15 16 11
15 17 41
15 18 41
16 17 29
16 18 50
17 18 10
