c
c
c
c
c
19 171
1 2 48
1 3 10
1 4 36
1 5 50
1 6 33
1 7 38
1 8 24
1 9 7
1 10 4
1 11 14
1 12 24
1 13 3
1 14 1
1 15 47
1 16 19
1 17 2
1 18 47
1 19 18
2 3 15
2 4 20
2 5 39
2 6 31
2 7 29
2 8 11
2 9 34
2 10 30
2 11 36
2 12 19
2 13 22
2 14 49
2 15 22
2 16 32
2 17 14
2 18 8
2 19 23
3 4 6
3 5 7
3 6 25
3 7 24
3 8 30
3 9 37
3 10 32
3 11 19
3 12 31
3 13 20
3 14 21
3 15 28
3 16 22
3 17 5
3 18 45
3 19 48
4 5 24
4 6 46
4 7 17
4 8 15
4 9 16
4 10 46
4 11 19
4 12 38
4 13 32
4 14 26
4 15 31
4 16 17
4 17 39
4 18 9
4 19 49
5 6 33
5 7 3
5 8 50
5 9 15
5 10 49
5 11 37
5 12 9
5 13 1
5 14 11
5 15 16
5 16 37
5 17 26
5 18 19
5 19 19
6 7 33
6 8 38
6 9 43
6 10 16
6 11 23
6 12 50
6 13 17
6 14 7
6 15 8
6 16 49
6 17 36
6 18 29
6 19 5
7 8 1
7 9 10
7 10 16
7 11 24
7 12 49
7 13 3
7 14 50
7 15 47
7 16 27
7 17 37
7 18 18
7 19 31
8 9 12
8 10 2
8 11 47
8 12 25
8 13 46
8 14 38
8 15 49
8 16 38
8 17 42
8 18 40
8 19 7
9 10 38
9 11 8
9 12 44
9 13 11
9 14 47
9 15 4
9 16 21
9 17 23
9 18 34
9 19 26
10 11 34
10 12 20
10 13 33
10 14 46
10 15 8
10 16 46
10 17 3
10 18 5
10 19 18
11 12 33
11 13 23
11 14 15
11 15 47
11 16 16
11 17 16
11 18 31
11 19 15
12 13 13
12 14 13
12 15 24
12 16 11
12 17 13
12 18 38
12 19 36
13 14 20
13 15 50
13 16 50
13 17 40
13 18 15
13 19 33
14 15 11
14 16 5
14 17 7
14 18 22
14 19 45
15 16 32
15 17 9
15 18 45
15 19 17
16 17 40
16 18 16
16 19 37
17 18 14
17 19 23
18 19 14
