c
c
c
c
c
15 105
1 2 3
1 3 30
1 4 18
1 5 9
1 6 5
1 7 47
1 8 40
1 9 12
1 10 12
1 11 5
1 12 25
1 13 7
1 14 16
1 15 42
2 3 41
2 4 24
2 5 11
2 6 38
2 7 36
2 8 8
2 9 9
2 10 48
2 11 12
2 12 27
2 13 46
2 14 10
2 15 1
3 4 13
3 5 15
3 6 10
3 7 32
3 8 33
3 9 45
3 10 48
3 11 8
3 12 19
3 13 29
3 14 14
3 15 45
4 5 12
4 6 48
4 7 20
4 8 3
4 9 26
4 10 23
4 11 25
4 12 27
4 13 39
4 14 6
4 15 2
5 6 29
5 7 10
5 8 36
5 9 30
5 10 39
5 11 38
5 12 5
5 13 16
5 14 35
5 15 31
6 7 47
6 8 10
6 9 30
6 10 7
6 11 25
6 12 24
6 13 7
6 14 25
6 15 38
7 8 29
7 9 19
7 10 14
7 11 25
7 12 24
7 13 34
7 14 2
7 15 3
8 9 32
8 10 18
8 11 18
8 12 15
8 13 17
8 14 50
8 15 4
9 10 13
9 11 45
9 12 31
9 13 43
9 14 40
9 15 42
10 11 6
10 12 38
10 13 33
10 14 16
10 15 40
11 12 14
11 13 18
11 14 41
11 15 1
12 13 39
12 14 17
12 15 15
13 14 1
13 15 22
14 15 33
